ticker,date,TotalDebt_x,TotalDebt_y,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
LEA,2020-12-31,2430800000.0,2430800000.0,3269200000.0,210800000,-411700000,663100000
LEA,2021-12-31,2721600000.0,2721600000.0,3041500000.0,85000000,-13600000,670100000
LEN,2018-11-30,10117058000.0,10117058000.0,189471000.0,1581170000,-2195901000,1711609000
LEN,2019-11-30,9573696000.0,9573696000.0,706969000.0,1395846000,-1629224000,1482343000
LEN,2020-11-30,7421583000.0,7421583000.0,772968000.0,4118067000,-2446575000,4190819000
LEN,2021-11-30,6378364000.0,6378364000.0,1051574000.0,2467602000,-2404735000,2532774000
LHX,2018-06-30,3790000000.0,3790000000.0,468000000.0,615000000,-805000000,751000000
LHX,2019-06-30,3522000000.0,3522000000.0,457000000.0,1024000000,-781000000,1185000000
LHX,2019-12-31,781000000.0,781000000.0,1216000000.0,1388000000,-2410000000,1655000000
LHX,2020-12-31,7652000000.0,7652000000.0,1344000000.0,2422000000,-3112000000,2790000000
LHX,2021-12-31,7829000000.0,7829000000.0,1045000000.0,2345000000,-4413000000,2687000000
